,precision,recall,f1-score,support
BARBUNYA,0.946236559139785,0.8888888888888888,0.9166666666666666,198.0
BOMBAY,1.0,1.0,1.0,78.0
CALI,0.9314516129032258,0.9428571428571428,0.9371196754563894,245.0
DERMASON,0.9089219330855018,0.9191729323308271,0.914018691588785,532.0
HOROZ,0.965034965034965,0.9550173010380623,0.96,289.0
SEKER,0.9448051948051948,0.9572368421052632,0.9509803921568627,304.0
SIRA,0.8517587939698492,0.8560606060606061,0.853904282115869,396.0
accuracy,0.920666013712047,0.920666013712047,0.920666013712047,0.920666013712047
macro avg,0.9354584369912173,0.9313191018972559,0.933241386854939,2042.0
weighted avg,0.9209203324193923,0.920666013712047,0.9206838390527029,2042.0
